company,job_title,date_of_applied,date_of_rejection,status
Andiamo,Senior Data Scientist - Medical Software Company,2026-04-07,,application_confirmation
MaintainX,,2026-04-07,,application_confirmation
Pinterest,Machine Learning Engineer II – Growth Science,2026-04-07,,application_confirmation
Open Systems Technologies,Intermediate Generative AI Developer,2026-04-09,,application_confirmation
Wave,,2026-04-09,,application_confirmation
Geotab,,2026-04-09,,application_confirmation
Samsara,AI Engineer,2026-04-09,2026-04-11,rejection
Manulife/John Hancock,Senior Data Scientist,2026-04-09,,application_confirmation
Veeva Systems,Data Scientist - Business Consulting,2026-04-09,,application_confirmation
Torc Robotics,"ML Engineer, II - Learned Behaviors",2026-04-10,,application_confirmation
Magnet Forensics,Senior Machine Learning Engineer,2026-04-10,,application_confirmation
Cohere,"Member of Technical Staff, Data Engineering",2026-04-10,,application_confirmation
Avenue Code,AI/ML scientist,2026-04-10,,application_confirmation
Scotiabank,"Senior Data Scientist - Generative AI, ML & Agentic Systems",2026-04-10,,application_confirmation
Amaris Consulting,Applied AI Scientist Cheminformatics,2026-04-10,,application_confirmation
PointClickCare,Senior Applied Researcher AI/ML ( CAD),2026-04-10,,application_confirmation
Vanguard,Senior AI/ML Research Engineer,2026-04-13,,application_confirmation
Visa,"Senior Data Scientist, AI/ML– Visa Consulting and Analytics",2026-04-13,,application_confirmation
Celestica,Senior Data Scientist,2026-04-13,,application_confirmation
MSCI,AI Researcher - Emerging Risk,2026-04-13,,application_confirmation
Veeva,,2026-04-14,,application_confirmation
Verily,Staff AI Researcher (Foundation Models),2026-04-15,,application_confirmation
WPP Media,,2026-04-16,,application_confirmation
Wealthsimple,"Staff Data Scientist, Fraud",2026-04-16,2026-04-17,rejection
Thomson Reuters,Applied Scientist,2026-04-20,,application_confirmation
Lyft,"Data Science, Decisions - Verticals",2026-04-20,,application_confirmation
Waabi,Research Scientist,2026-04-20,,application_confirmation
Nucs AI,Machine Learning Scientist,2026-04-20,,application_confirmation
RBC,Senior Machine Learning Research Engineer,2026-04-20,,application_confirmation
Achievers,Data Scientist,2026-04-20,2026-04-21,rejection
Lyft,"Data Scientist - Decisions, Mapping",2026-04-21,,application_confirmation
Wealthsimple,"Senior Data Scientist, Finance & Market Risk",2026-04-23,2026-05-04,rejection
HelloFresh,"Machine Learning Engineer, Growth",2026-04-23,2026-04-27,rejection
Tripstack,Data Scientist,2026-04-23,,application_confirmation
Adaptive ML,Forward Deployed AI Engineer,2026-04-23,,application_confirmation
Questrade Financial Group,"AI Scientist, Risk Modelling (Questbank)",2026-04-23,,application_confirmation
US Mobile,AI / ML Engineer,2026-04-24,,application_confirmation
Valsoft Corporation,AI Developer - Canada,2026-04-24,,application_confirmation
Valsoft Corporation,AI Developer - Canada,2026-04-24,,application_confirmation
Affirm,Machine Learning Engineer II (Fraud),2026-04-24,2026-04-28,rejection
Intuition Machines,Senior/Lead ML Applied Scientist,2026-04-24,,application_confirmation
"Intuition Machines, Inc.",Senior/Lead ML Applied Scientist,2026-04-24,,application_confirmation
Electronic Arts,,2026-04-24,,application_confirmation
Warner Music Inc.,Data Scientist,2026-04-27,,application_confirmation
Microsoft,Senior Data Scientist,2026-04-27,2026-04-29,rejection
Fullscript,Machine Learning Engineer,2026-04-27,,application_confirmation
Desjardins,"Data Scientist, Credit Application Fraud Detection",2026-04-27,2026-04-30,rejection
M Science,Data Scientist,2026-04-27,,application_confirmation
ServiceTitan,Senior Data Scientist,2026-04-27,,application_confirmation
BMO,"Senior Analyst, Data Sciences",2026-04-27,,application_confirmation
Fullscript,Lead Data Scientist,2026-04-27,2026-05-06,rejection
Relay,Senior Data Scientist,2026-04-28,2026-05-01,rejection
RBC,Senior Data Scientist - AI,2026-04-28,,application_confirmation
Clio,,2026-04-28,,application_confirmation
Alpaca Markets,Senior Data Scientist,2026-04-28,,application_confirmation
Kroll,Senior Data Scientist,2026-04-28,2026-05-06,rejection
TD,"Senior Applied Machine Learning Scientist, Predictive AI",2026-04-28,,application_confirmation
TekRek,Senior Data Scientist,2026-04-29,,application_confirmation
Teamworks,Data Scientist II (Basketball/Hockey),2026-04-29,,application_confirmation
Opendoor,,2026-04-29,,application_confirmation
RBC,"Lead AI Engineer, GFT",2026-04-29,,application_confirmation
Index Exchange,Staff Data Scientist,2026-04-29,,application_confirmation
BMO,Data Scientist,2026-04-29,,application_confirmation
TD,Data Scientist III,2026-04-29,,application_confirmation
Opendoor,Data Scientist,2026-04-29,,application_confirmation
RBC,"Lead Data Scientist, Next Best Action",2026-04-30,,application_confirmation
McKesson,Senior Data Scientist,2026-04-30,,application_confirmation
RBC,"Lead Data Scientist, GFT",2026-04-30,,application_confirmation
Questrade Financial Group,Principal Data Scientist,2026-04-30,,application_confirmation
"Huawei Technologies Canada Co., Ltd.",Senior Researcher - AI Agent,2026-04-30,,application_confirmation
RBC,Senior Data Scientist,2026-04-30,,application_confirmation
"Huawei Technologies Canada Co., Ltd.",Intern Researcher - AI Agent,2026-04-30,,application_confirmation
"Huawei Technologies Canada Co., Ltd.",Intern Researcher - AI Agent Evaluation,2026-04-30,,application_confirmation
"Huawei Technologies Canada Co., Ltd.",Researcher – AI/ML,2026-04-30,,application_confirmation
"Huawei Technologies Canada Co., Ltd.",Intern Strategic Researcher - Efficient AI Computing,2026-04-30,,application_confirmation
"Huawei Technologies Canada Co., Ltd.",Intern Strategic Researcher - LLM,2026-04-30,,application_confirmation
"Huawei Technologies Canada Co., Ltd.",PhD Intern - AI Efficiency Researcher,2026-04-30,,application_confirmation
"Huawei Technologies Canada Co., Ltd.",Intern Researcher – AI Foundation Model Training,2026-04-30,,application_confirmation
CIBC,Senior Machine Learning Engineer,2026-05-02,,application_confirmation
CIBC,Senior AI Scientist,2026-05-04,,application_confirmation
RBC,"Senior Data Scientist, Fraud Applied AI and Innovation",2026-05-04,,application_confirmation
Electronic Arts,Data Scientist - Mobile Growth,2026-05-04,,application_confirmation
,Machine Learning Bioinformatics Engineer,2026-05-04,,application_confirmation
RBC,Staff Data/AI Engineer,2026-05-07,,application_confirmation
Xanadu Quantum Technologies,AI Specialist - AI For Research,2026-05-07,,application_confirmation
Waabi,"Research Engineer, Sensor Signal Processing",2026-05-07,,application_confirmation
Wealthsimple,"Senior Data Scientist, Growth Product",,2026-04-02,rejection
Datatrac,Forward Deployed Engineer (AI),,,interview
Borrowell,Senior Data Scientist,,2026-04-08,rejection
HelloFresh,"Senior Data Scientist, Growth",,2026-04-08,rejection
Tucows Inc.,Senior Engineer- Artificial Intelligence,,2026-04-08,rejection
Sanofi,Data Scientist,,2026-04-10,rejection
Geotab,Senior Data Scientist,,2026-04-10,rejection
Pinterest,"Machine Learning Engineer II, Core Engineering",,2026-04-10,rejection
TD,Machine Learning Engineer I,,2026-04-11,rejection
BMO Financial Group,Senior AI Engineer,,2026-04-12,rejection
Open Systems Technologies,Intermediate Generative AI Developer,,2026-04-12,rejection
Veeva,Data Scientist,,,interview
Veeva,Data Scientist - Business Consulting,,,interview
Hydro One,Data Scientist,,2026-04-14,rejection
Stripe,Data Scientist Internship,,,interview
TD,Research Machine Learning Scientist,,2026-04-17,rejection
SecurityScorecard,Senior Data Scientist,,2026-04-17,rejection
HelloFresh,Data Scientist,,2026-04-17,rejection
Amaris Consulting,,,2026-04-17,rejection
Sanofi,Senior Scientist - Agentic AI Systems - Vaccines,,2026-04-18,rejection
Holt Renfrew,AI Engineer,,2026-04-18,rejection
eBay,Applied Researcher 3,,2026-04-18,rejection
Huawei Canada,Researcher – AI/ML,,2026-04-20,rejection
Veeva Systems,,,2026-04-20,rejection
Valsoft,Forward Deployed Engineer (AI),,2026-04-21,rejection
,,,,interview
Tripledot Studios,Data Scientist,,2026-04-23,rejection
Thomson Reuters,Senior Research Engineer,,2026-04-24,rejection
Adaptive ML,,,2026-04-27,rejection
Canadian Tire Corporation,Senior Data Scientist,,,interview
Wave,Applied AI Scientist - LLMs & Voice,,2026-04-27,rejection
ServiceTitan,Senior Data Scientist,,2026-04-30,rejection
M Science,Data Scientist,,2026-04-30,rejection
Huawei,,,,interview
Huawei Canada,PhD Intern - AI Efficiency Researcher,,2026-05-01,rejection
Clio,Senior Machine Learning Engineer,,2026-05-03,rejection
BDO Canada LLP,AI Engineer,,2026-05-03,rejection
Cantire,Senior Data Scientist,,,interview
Stripe,"2025-2026 PhD Intern, Data Scientist",,,interview
"Intuition Machines, Inc.",Senior/Lead ML Applied Scientist,,2026-05-06,rejection
Copoly.ai,Machine Learning Bioinformatics Engineer,,2026-05-07,rejection
DraftAid,ML Engineer,,2026-05-07,rejection
